Food Bank,index,Total Population,"[Revised Projections – March 2021]
2021 Food Insecurity  %","[Revised Projections – March 2021]
2021 Food Insecurity #",address_1,city,zip_code,state_y,statecode,latitude,longitude
Central Illinois Foodbank,75,780891,0.128,99570,1937 E. Cook St.,Springfield,62703.0,Illinois,IL,39.7622,-89.6275
St. Louis Area Foodbank,76,3145218,0.123,385940,70 Corporate Woods Drive,Bridgeton,63044.0,Missouri,MO,38.7506,-90.4161
Second Harvest Heartland,77,4781649,0.085,407170,7101 Winnetka Avenue N.,Brooklyn Park,55428.0,Minnesota,MN,45.0632,-93.3811
Central Pennsylvania Food Bank,78,3037482,0.111,337110,3908 Corey Road,Harrisburg,17109.0,Pennsylvania,PA,40.291,-76.8203
Food Bank of Central New York,79,1365958,0.13,178160,7066 Interstate Island Road,Syracuse,13209.0,New York,NY,43.0847,-76.2405
Feeding Tampa Bay,80,4569071,0.141,645870,"4702 Transport Dr., Bldg. 6",Tampa,33605.0,Florida,FL,27.9671,-82.4334
Community Food Bank of Southern Arizona,81,1247072,0.155,193290,3003 South Country Club Road,Tucson,85713.0,Arizona,AZ,32.1941,-110.9739
Community Food Bank of Eastern Oklahoma,82,1542873,0.168,259320,1304 N. Kenosha Ave.,Tulsa,74106.0,Oklahoma,OK,36.1883,-95.986
"Blue Ridge Area Food Bank, Inc.",83,1599930,0.095,151430,96 Laurel Hill Road|P.O. Box 937,Verona,24482.0,Virginia,VA,38.2037,-79.0059
Rhode Island Community Food Bank,84,1057231,0.121,127540,200 Niantic Ave.,Providence,2907.0,Rhode Island,RI,41.7971,-71.4255
Capital Area Food Bank,85,4739064,0.095,448500,4900 Puerto Rico Ave NE,Washington,20017.0,District of Columbia,DC,38.9367,-76.994
Second Harvest Food Bank Santa Cruz County,86,334338,0.111,37100,800 Ohlone Parkway,Watsonville,95076.0,California,CA,36.9102,-121.7569
Second Harvest Food Bank of Northwest North Carolina,87,2142158,0.156,333980,3655 Reed Street,Winston-Salem,27107.0,North Carolina,NC,36.0403,-80.1933
Food Bank of West Central Texas,88,298880,0.179,53350,5505 N. First,Abilene,79603.0,Texas,TX,32.4679,-99.7619
Akron-Canton Regional Foodbank,89,1533896,0.133,204150,350 Opportunity Parkway,Akron,44307.0,Ohio,OH,41.0695,-81.5488
"Second Harvest Food Bank of East Central Indiana, Inc.",90,448350,0.159,71280,6621 N. Old SR 3,Muncie,47303.0,Indiana,IN,40.218,-85.379
MANNA FoodBank,91,743615,0.16,119160,627 Swannanoa River Rd,Asheville,28805.0,North Carolina,NC,35.6004,-82.4918
South Michigan Food Bank,92,864620,0.136,117680,5451 Wayne Road,Battle Creek,49037.0,Michigan,MI,42.3453,-85.2178
Second Harvest Food Bank of Lehigh Valley and NE Pennsylvania,93,1006655,0.111,111430,6969 Silver Crest Road,Nazareth,18064.0,Pennsylvania,PA,40.745,-75.3199
The Idaho Foodbank,94,1483225,0.115,169930,3630 E Commercial Ct,Meridian,83642.0,Idaho,ID,43.615,-116.3975
Community Food Share,95,390396,0.109,42380,650 S. Taylor Ave.,Louisville,80027.0,Colorado,CO,39.9789,-105.1456
Northern Illinois Food Bank,96,3985135,0.086,344270,273 Dearborn Court,Geneva,60134.0,Illinois,IL,41.886,-88.311
FIND Food Bank,97,4560470,0.117,534440,83-775 Citrus Ave|P.O. Box 10080,Indio,92202.0,California,CA,33.7529,-116.0556
HACAP Food Reservoir,98,475379,0.089,42510,1515 Hawkeye Drive|PO Box 490,Hiawatha,52233.0,Iowa,IA,42.0425,-91.677
The Food Bank for Central and Northeast Missouri,99,790787,0.142,112520,"2101 Vandiver Drive, Suite B",Columbia,65202.0,Missouri,MO,38.995,-92.3112
Feeding the Valley Food Bank,100,564778,0.17,95980,6744 Flat Rock Road,Midland,31820.0,Georgia,GA,32.5616,-84.8559
"North Country Food Bank, Inc.",101,350545,0.101,35510,1011 11th Ave. NE,East Grand Forks,56721.0,Minnesota,MN,47.9318,-97.0213
"The Foodbank, Inc.",102,739265,0.147,109030,56 Armor Place,Dayton,45417.0,Ohio,OH,39.7528,-84.247
Food Bank of the Albemarle,103,306310,0.157,48010,109 Tidewater Way|P. O. Box 1704,Elizabeth City,27906.0,North Carolina,NC,36.2854,-76.2133
"Feeding America, Kentucky's Heartland",104,1082878,0.154,166660,"313 Peterson Dr.,|PO Box 821",Elizabethtown,42701.0,Kentucky,KY,37.6848,-85.8784
"Tri-State Food Bank, Inc.",105,858132,0.141,120920,2504 Lynch Road,Evansville,47711.0,Indiana,IN,38.0617,-87.5548
Shared Harvest Foodbank,106,807128,0.118,95040,5901 Dixie Highway,Fairfield,45014.0,Ohio,OH,39.3266,-84.5479
Community Food Warehouse of Mercer County,107,111518,0.143,15940,109 S Sharpsville Avenue|Suite A,Sharon,16146.0,Pennsylvania,PA,41.2316,-80.4993
Second Harvest Food Bank of Southeast North Carolina,108,807456,0.179,144390,"406 Deep Creek Road, PO Box 2009",Fayetteville,28302.0,North Carolina,NC,35.0343,-78.9088
"Community Harvest Food Bank of Northeast Indiana, Inc.",109,670130,0.126,84730,999 East Tillman Road|P. O. Box 10967,Fort Wayne,46855.0,Indiana,IN,41.0938,-85.0707
Fredericksburg Regional Foodbank,110,400848,0.078,31420,3631 Lee Hill Drive|PO Box 1006,Fredericksburg,22408.0,Virginia,VA,38.2481,-77.4681
Food Bank for Larimer County,111,344786,0.117,40320,5706 Wright Drive,Loveland,80538.0,Colorado,CO,40.4262,-105.09
River Valley Regional Food Bank,112,308042,0.193,59470,1617 South Zero Street|PO Box 180070,Ft. Smith,72918.0,Arkansas,AR,35.3859,-94.3985
"Food Bank of Northwest Indiana, Inc.",113,654343,0.134,87430,6490 Broadway,Merrillville,46410.0,Indiana,IN,41.4957,-87.3509
Second Harvest North Central Food Bank,114,208929,0.114,23780,2222 Cromell Drive|PO Box 5130,Grand Rapids,55744.0,Minnesota,MN,47.2348,-93.5115
Weld Food Bank,115,305345,0.108,33010,1108 H Street,Greeley,80631.0,Colorado,CO,40.385,-104.6806
Foodshare,116,1044624,0.136,141980,450 Woodland Avenue,Bloomfield,6002.0,Connecticut,CT,41.8316,-72.7249
Facing Hunger Foodbank,117,467106,0.166,77560,1327 Seventh Avenue,Huntington,25701.0,West Virginia,WV,38.4097,-82.4423
Food Bank of North Alabama,118,1089725,0.157,171440,2000 B. Vernon Ave.|P.O. Box 18607,Huntsville,35805.0,Alabama,AL,34.7059,-86.6165
Mississippi Food Network,119,1779960,0.189,336960,440 W. Beatty Street|PO Box 411 (39205),Jackson,39201.0,Mississippi,MS,32.2935,-90.1867
Food Bank of Northeast Arkansas,120,500090,0.193,96350,3414 One Place|P.O. Box 2097,Jonesboro,72402.0,Arkansas,AR,35.8088,-90.6529
Lowcountry Food Bank,121,1471857,0.11,161430,2864 Azalea Drive,Charleston,29405.0,South Carolina,SC,32.853,-79.9913
Greater Lansing Food Bank,122,689027,0.14,96260,5600 Food Ct,Bath,48906.0,Michigan,MI,42.7635,-84.558
Three Square Food Bank,123,2232533,0.163,363750,4190 N. Pecos Rd.,Las Vegas,89115.0,Nevada,NV,36.2158,-115.0671
"God's Pantry Food Bank, Inc.",124,1531884,0.174,266180,1685 Jaggie Fox Way,Lexington,40511.0,Kentucky,KY,38.0932,-84.5007
"Food Bank of Lincoln, Inc.",125,470798,0.122,57510,"4840 Doris Bair Circle, Suite A",Lincoln,68504.0,Nebraska,NE,40.8392,-96.6532
Middle Georgia Community Food Bank,126,708424,0.156,110560,4490 Ocmulgee East Boulevard|PO Box 5024,Macon,31217.0,Georgia,GA,32.8118,-83.565
Second Harvest Foodbank of Southern Wisconsin,127,1277333,0.098,125370,2802 Dairy Drive,Madison,53718.0,Wisconsin,WI,43.0984,-89.2734
New Hampshire Food Bank,128,1348124,0.096,129470,700 East Industrial Park Drive,Manchester,3109.0,New Hampshire,NH,42.9713,-71.4135
United Food Bank,129,4995930,0.143,715480,245 South Nina Drive,Mesa,85210.0,Arizona,AZ,33.3887,-111.8428
SE Ohio Foodbank,130,304094,0.175,53200,1005 CIC Drive,Logan,43138.0,Ohio,OH,39.5372,-82.4126
Virginia Peninsula Foodbank,131,537162,0.115,61810,2401 Aluminum Avenue,Hampton,23661.0,Virginia,VA,37.0074,-76.3801
Alameda County Community Food Bank,132,1656754,0.109,180930,7900 Edgewater Drive|P.O. Box 2599,Oakland,94621.0,California,CA,37.7589,-122.1853
West Texas Food Bank,133,482450,0.164,78900,411 S. Pagewood Ave.,Odessa,79761.0,Texas,TX,31.8579,-102.3523
Helping Harvest,134,560699,0.114,63970,117 Morgan Drive,Reading,19608.0,Pennsylvania,PA,40.3113,-76.0345
Channel One Food Bank,135,657156,0.087,57000,"131 35th Street, SE",Rochester,55904.0,Minnesota,MN,44.0105,-92.3973
Placer Food Bank,136,673319,0.103,69160,8284 Industrial Ave,Roseville,95678.0,California,CA,38.7609,-121.2867
Foodbank of Santa Barbara County,137,726994,0.108,78800,4554 Hollister Avenue,Santa Barbara,93110.0,California,CA,34.4418,-119.7647
Redwood Empire Food Bank,138,814626,0.129,104720,3990 Brickway Blvd,Santa Rosa,95403.0,California,CA,38.4822,-122.7473
"Worcester County Food Bank, Inc.",139,824772,0.102,83930,474 Boston Turnpike,Shrewsbury,1545.0,Massachusetts,MA,42.2848,-71.7205
Southeast Missouri Food Bank,140,367623,0.173,63630,600 State Highway H|PO Box 190,Sikeston,63801.0,Missouri,MO,36.8911,-89.582
Feeding South Dakota,141,870638,0.11,96070,4701 N Westport Ave,Sioux Falls,57107.0,South Dakota,SD,43.5566,-96.8028
Vermont Foodbank,142,624313,0.11,68780,33 Parker Road,Barre,5641.0,Vermont,VT,44.1945,-72.4936
"Second Harvest Foodbank of Clark, Champaign, and Logan Counties",143,218887,0.145,31660,20 N Murray,Springfield,45503.0,Ohio,OH,39.9528,-83.7804
Ozarks Food Harvest,144,1125355,0.159,179410,2810 N. Cedarbrook Ave,Springfield,65803.0,Missouri,MO,37.2593,-93.2912
Second Harvest Community Food Bank,145,348562,0.138,48030,915 Douglas,St. Joseph,64505.0,Missouri,MO,39.7965,-94.8443
"Second Harvest of the Big Bend, Inc.",146,520566,0.15,77960,4446 Entrepot Blvd,Tallahassee,32310.0,Florida,FL,30.3991,-84.3298
Terre Haute Catholic Charities Foodbank,147,256132,0.16,40980,430 N 14th 1/2 St,Terre Haute,47807.0,Indiana,IN,39.471,-87.4009
Toledo Northwestern Ohio Food Bank,148,805350,0.145,117170,24 East Woodruff Avenue,Toledo,43604.0,Ohio,OH,41.6614,-83.5249
Eastern Illinois Foodbank,150,1109233,0.119,131970,2405 North Shore Drive,Urbana,61802.0,Illinois,IL,40.0746,-88.1691
Second Harvest Food Bank of North Central Ohio,151,482610,0.14,67620,5510 Baumhart Rd,Lorain,44053.0,Ohio,OH,41.432,-82.2038
Northeast Iowa Food Bank,152,377054,0.094,35450,1605 Lafayette Steet|PO Box 2397,Waterloo,50703.0,Iowa,IA,42.5149,-92.3269
"Long Island Cares, Inc.",153,2840341,0.069,196360,10 Davids Drive,Hauppauge,11788.0,New York,NY,40.8231,-73.1958
Kansas Food Bank,154,1495571,0.139,207310,1919 E. Douglas,Wichita,67211.0,Kansas,KS,37.6662,-97.3165
Wichita Falls Area Food Bank,155,225644,0.192,43430,1230 Midwestern Parkway|PO Box 623,Wichita Falls,76307.0,Texas,TX,33.9137,-98.4934
Second Harvest Food Bank of the Mahoning Valley,156,533518,0.161,85710,2805 Salt Springs Road,Youngstown,44509.0,Ohio,OH,41.105,-80.6945
East Texas Food Bank,157,1278507,0.188,240850,3201 Robertson Road,Tyler,75701.0,Texas,TX,32.3254,-95.2922
Second Harvest Northern Lakes Food Bank,158,330920,0.116,38320,4503 Airpark Boulevard,Duluth,55811.0,Minnesota,MN,46.8147,-92.1998
Second Harvest Food Bank of Northeast Tennessee,159,508884,0.171,86780,1020 Jericho Drive,Kingsport,37663.0,Tennessee,TN,36.4715,-82.4834
Great Plains Food Bank,160,820163,0.076,62340,1720 3rd Avenue North,Fargo,58102.0,North Dakota,ND,46.9209,-96.8318
"Food Bank of the Rio Grande Valley, Inc.",161,1298430,0.214,278140,724 N. Cage Blvd.,Pharr,78577.0,Texas,TX,26.1771,-98.187
Feeding Westchester,162,968890,0.09,87160,200 Clearbrook Road,Elmsford,10523.0,New York,NY,41.0572,-73.8136
Food Bank for Monterey County,163,433410,0.113,49070,"815 W. Market Street, Suite 5",Salinas,93901.0,California,CA,36.6677,-121.6596
Good Shepherd Food Bank,164,1335492,0.136,181470,3121 Hotel Road|PO Box 1807,Auburn,4211.0,Maine,ME,44.197,-70.2395
Food Bank of Central Louisiana,165,390796,0.178,69600,3223 Baldwin Avenue,Alexandria,71301.0,Louisiana,LA,31.2885,-92.4633
Food Bank of Northern Indiana,166,733376,0.138,101050,702 South Chapin Street,South Bend,46601.0,Indiana,IN,41.6727,-86.2535
Utah Food Bank,167,3096848,0.121,373400,3150 South 900 West,Salt Lake City,84119.0,Utah,UT,40.6916,-112.0011
Harry Chapin Food Bank of Southwest Florida,168,1344236,0.13,175280,3760 Fowler St.,Ft. Myers,33901.0,Florida,FL,26.6204,-81.8725
Central California Food Bank,169,2640184,0.154,407630,4010 E. Amendola Ave.,Fresno,93725.0,California,CA,36.6207,-119.7308
All Faiths Food Bank,170,456399,0.13,59510,8171 Blaikie Ct.,Sarasota,34240.0,Florida,FL,27.339,-82.3473
West Ohio Food Bank,171,504131,0.127,63860,1380 East Kibby Street|P.O. Box 1566,Lima,45804.0,Ohio,OH,40.7275,-84.089
H and J Weinberg NE PA Regional Food Bank,172,596612,0.139,82950,185 Research Drive,Pittston,18640.0,Pennsylvania,PA,41.3175,-75.7885
Food Bank of the Golden Crescent,173,303970,0.174,52770,3809 E. Rio Grande|P.O.Box 5085,Victoria,77901.0,Texas,TX,28.809,-96.9993
"Second Harvest of South Georgia, Inc",174,614713,0.172,105560,1411 Harbin Circle,Valdosta,31601.0,Georgia,GA,30.7539,-83.3321
Westmoreland County Food Bank,175,352590,0.117,41140,100 Devonshire Drive,Delmont,15626.0,Pennsylvania,PA,40.4139,-79.5764
Philabundance,176,5420413,0.117,636880,3616 S. Galloway Street,Philadelphia,19148.0,Pennsylvania,PA,39.9207,-75.1595
City Harvest,177,8419316,0.171,1437320,"6 East 32nd Street, 5th Fl.",New York,10016.0,New York,NY,40.7443,-73.9781
Greater Baton Rouge Food Bank,178,875626,0.148,129250,10600 S. Choctaw Drive|Post Office Box 45830,Baton Rouge,70815.0,Louisiana,LA,30.4558,-91.0596
Hoosier Hills Food Bank,179,257665,0.15,38750,2333 West Industrial Park Drive|PO Box 697,Bloomington,47404.0,Indiana,IN,39.195,-86.5757
Food Gatherers,180,367000,0.116,42450,1 Carrot Way|P.O. Box 131037,Ann Arbor,48105.0,Michigan,MI,42.3042,-83.7068
Forgotten Harvest,181,3880809,0.158,612350,21800 Greenfield Road,Oak Park,48237.0,Michigan,MI,42.4662,-83.184
Inter-Faith Food Shuttle,182,1940649,0.126,244820,1001 Blair Drive,Raleigh,27620.0,North Carolina,NC,35.7977,-78.6253
"FULFILL - (The FoodBank of Monmouth and Ocean Counties, Inc.)",183,1218074,0.112,136440,3300 Route 66,Neptune,7753.0,New Jersey,NJ,40.2096,-74.0714
Island Harvest,184,2840341,0.069,196360,126 Spagnoli Road,Melville,11747.0,New York,NY,40.7946,-73.403
"Harvest Regional Food Bank, Inc.",185,251209,0.183,46080,3120 East 19th Street|P.O. Box 707,Texarkana,71854.0,Arkansas,AR,33.431,-93.8765
St. Mary's Food Bank,186,5519420,0.146,804030,2831 N. 31st Avenue,Phoenix,85009.0,Arizona,AZ,33.4564,-112.1284
Montana Food Bank Network,187,1050649,0.11,115160,5625 Expressway,Missoula,59808.0,Montana,MT,46.9776,-114.0619
Southeast Texas Food Bank,188,525496,0.206,108310,3845 Martin Luther King Parkway|P O Box 21012,Beaumont,77705.0,Texas,TX,30.0211,-94.1157
Food Bank of Northeast Georgia,189,550707,0.145,79950,861 Newton Bridge Road|P.O. Box 48857,Athens,30604.0,Georgia,GA,33.9443,-83.3891
Food Bank of Northwest Louisiana,190,476975,0.18,85730,2307 Texas Avenue,Shreveport,71103.0,Louisiana,LA,32.4945,-93.7727
Food Bank of Northeast Louisiana,191,351166,0.189,66260,4600 Central Ave|PO Box 5048,Monroe,71211.0,Louisiana,LA,32.4908,-92.1594
Food Finders Food Bank Inc.,192,590962,0.139,82250,1204 Greenbush Street,Lafayette,47904.0,Indiana,IN,40.4276,-86.8735
Feeding Northeast Florida,193,1713944,0.135,231800,"1116 Edgewood Avenue North, Units D and E",Jacksonville,32254.0,Florida,FL,30.3415,-81.7358
Treasure Coast Food Bank,194,667145,0.132,87970,401 Angle Rd.,Ft. Pierce,34947.0,Florida,FL,27.4493,-80.3592
Yuma Community Food Bank,195,230261,0.178,41040,2404 E 24th St. Ste. A,Yuma,85365.0,Arizona,AZ,32.7093,-114.4905
Northwest Arkansas Food Bank,196,542224,0.145,78800,1378 June Self Drive,Bethel Heights,72764.0,Arkansas,AR,36.1716,-94.0428
South Texas Food Bank,197,478379,0.208,99310,2121 Jefferson St.,Laredo,78040.0,Texas,TX,27.5155,-99.4986
El Pasoans Fighting Hunger,198,842691,0.179,150700,9541 Plaza Circle,El Paso,79927.0,Texas,TX,31.6446,-106.2737
